ID,Name,Item1,Item2,Item3,Item4,Bill
1,Tushar,Pencil,Eraser,Sharpner,,20
2,Ramesh,Pen,Pages,Files,Gum,65
3,Pankaj,Eraser,Perfume,Chocolate,,40
4,Kartik,Pages,Files,Stapler,Scale,110
5,Ganesh,Biscuits,Chocolate,,,15
6,Aradhya,Pages,Files,Compass,,68
7,Aman,Pencil,Pen,Notebook,,46
8,Armaan,Biscuits,Chocolate,,,15
9,Vaibhav,Pencil,Pen,Scale,,25
10,Sumit,Files,,,,20
11,Heena,Biscuits,Chocolate,,,9
12,Manas,Pages,Notebook,Perfume,,120
13,Vikas,Files,Gum,Scale,,25
14,Akshay,Pen,Files,Compass,Chocolate,45
15,Ashish,Compass,,,,18
16,Nilesh,Pencil,Biscuits,Chocolate,,15
17,Ashish,Scale,Biscuits,Chocolate,,28
18,Saurabh,Pencil,Eraser,Sharpner,Pen,25
19,Abhishek,Gum,Compass,Scale,Sheets,53
20,Akash,Pen,Notebook,Chocolate,,65
21,Popat,Pencil,Eraser,Sharpner,Pen,24
22,Sandip,Pencil,Pen,Pages,Files,50
23,Tejaswini,Notebook,Sheets,,,45
